Prompt;Category;Challenge;Note;Index
bond;Abstract;Basic;Biology-inspired concepts with multiple meanings;0
element;Abstract;Basic;Biology-inspired concepts with multiple meanings;1
molecule;Abstract;Basic;Biology-inspired concepts with multiple meanings;2
life;Abstract;Basic;Biology-inspired concepts with multiple meanings;3
protein;Abstract;Basic;Biology-inspired concepts with multiple meanings;4
yin-yang;Abstract;Basic;Related to five elements;5
wood;Abstract;Basic;Related to five elements;6
metal;Abstract;Basic;Related to five elements;7
space;Abstract;Basic;Related to five elements;8
air;Abstract;Basic;Related to five elements;9
fire;Abstract;Basic;Related to five elements;10
water;Abstract;Basic;Related to five elements;11
earth;Abstract;Basic;Related to five elements;12
force;Abstract;Basic;Physics concepts;13
motion;Abstract;Basic;Physics concepts;14
inertia;Abstract;Basic;Physics concepts;15
energy;Abstract;Basic;Physics concepts;16
black hole;Abstract;Basic;Physics concepts;17
gravity;Abstract;Basic;Physics concepts;18
peace;Abstract;Basic;;19
fairness;Abstract;Basic;;20
gender;Abstract;Basic;;21
intelligence;Abstract;Basic;;22
bias;Abstract;Basic;;23
hate;Abstract;Basic;;24
anger;Abstract;Basic;;25
emotion;Abstract;Basic;;26
feeling;Abstract;Basic;;27
love;Abstract;Basic;;28
artificial intelligence;Abstract;Basic;;29
meaning of life;Abstract;Basic;;30
42;Abstract;Basic;Simple numbers but challenging;31
0;Abstract;Basic;Simple numbers but challenging;32
infinity;Abstract;Basic;Math concepts;33
imaginary numbers;Abstract;Basic;Math concepts;34
Fibonacci number;Abstract;Basic;Math concepts;35
golden ratio;Abstract;Basic;Math concepts;36
an F1;Vehicles;Basic;;37
parallel lines;Illustrations;Basic;Math concepts;38
concentric circles;Illustrations;Basic;Math concepts;39
concurrent lines;Illustrations;Basic;Math concepts;40
congruent triangles;Illustrations;Basic;Math concepts;41
a hot air balloon;Vehicles;Basic;;42
The Starry Night;Arts;Basic;;43
300;Abstract;Basic;Simple numbers but challenging;44
101;Abstract;Basic;Simple numbers but challenging;45
U.S. 101;World Knowledge;Basic;Simple numbers but challenging;46
commonsense;Abstract;Basic;;47
happiness;Abstract;Basic;;48
hope;Abstract;Basic;;49
insight;Abstract;Basic;;50
inspiration;Abstract;Basic;;51
derision;Abstract;Basic;;52
Salvador Dalí;People;Basic;;53
a shiba inu;Animals;Basic;;54
a handpalm;People;Basic;;55
an espresso machine;Artifacts;Basic;;56
a propaganda poster;Artifacts;Basic;;57
The Oriental Pearl;World Knowledge;Basic;CogView;58
Ha Long Bay;World Knowledge;Basic;;59
A Vietnam map;World Knowledge;Basic;;60
A bowl of Pho;Food & Beverage;Basic;;61
a snail;Animals;Basic;;62
brain coral;Animals;Basic;;63
a walnut;Produce & Plants;Basic;;64
a capybara;Animals;Basic;;65
a baby penguin;Animals;Basic;;66
a cup of boba;Food & Beverage;Basic;;67
a photo of san francisco's golden gate bridge;World Knowledge;Basic;DALL-E;68
A picture of some food in the plate;Food & Beverage;Basic;VQ-Diffusion;69
a chair;Artifacts;Basic;;70
the Empire State Building;World Knowledge;Basic;;71
the Sydney Opera House;World Knowledge;Basic;;72
a hedgehog;Animals;Basic;;73
a corgi;Animals;Basic;;74
a robot;Artifacts;Basic;;75
robots;Artifacts;Basic;;76
a fall landscape;Outdoor Scenes;Basic;;77
a sunset;Outdoor Scenes;Basic;;78
a boat;Vehicles;Basic;;79
a fox;Animals;Basic;;80
a red cube;Illustrations;Basic;;81
a panda;Animals;Basic;;82
a space elevator;Artifacts;Basic;GLIDE;83
a city;Outdoor Scenes;Basic;;84
a fog;Outdoor Scenes;Basic;;85
a clock;Artifacts;Basic;;86
a phone;Artifacts;Basic;;87
food;Food & Beverage;Basic;;88
a store front;Outdoor Scenes;Basic;;89
an armchair;Artifacts;Basic;;90
a teapot;Artifacts;Basic;;91
an illustration of a teapot;Artifacts;Basic;DALL-E;92
a tiger;Animals;Basic;;93
a bench;Artifacts;Basic;;94
an orange;Produce & Plants;Basic;;95
a laptop;Artifacts;Basic;;96
an owl;Animals;Basic;;97
a train;Vehicles;Basic;;98
a cow;Animals;Basic;;99
a submarine;Vehicles;Basic;;100
a whale;Animals;Basic;;101
a t-shirt;Artifacts;Basic;;102
a bowl;Artifacts;Basic;;103
a flag;Artifacts;Basic;;104
a cat;Animals;Basic;;105
a towel;Artifacts;Basic;;106
a wall;Artifacts;Basic;;107
a car;Vehicles;Basic;;108
a giraffe;Animals;Basic;;109
an eagle;Animals;Basic;;110
a kangaroo;Animals;Basic;;111
a canal;Outdoor Scenes;Basic;;112
the grand canyon;World Knowledge;Basic;;113
lily pads;Produce & Plants;Basic;;114
a street;Outdoor Scenes;Basic;;115
a house;Outdoor Scenes;Basic;;116
a fish;Animals;Basic;;117
a city intersection;Outdoor Scenes;Basic;;118
a circle;Illustrations;Basic;;119
a red circle;Illustrations;Basic;;120
a box;Illustrations;Basic;;121
a yellow box;Illustrations;Basic;;122
a red box;Illustrations;Basic;;123
a sphere;Illustrations;Basic;;124
a red sphere;Illustrations;Basic;;125
a large blue box;Illustrations;Basic;;126
a blue metallic sphere;Illustrations;Basic;;127
a horse;Animals;Basic;;128
a pumpkin;Produce & Plants;Basic;;129
a sword;Artifacts;Basic;;130
